code_or_label,rural_male,rural_female,rural_person,urban_male,urban_female,urban_person,rural_urban_male,rural_urban_female,rural_urban_person
111,0.05,0.05,0.05,0.15,0.12,0.14,0.08,0.07,0.08
112,0.80,0.21,0.58,3.46,1.25,2.89,1.65,0.43,1.24
121,0.15,0.02,0.10,0.98,0.53,0.86,0.42,0.13,0.32
122,0.10,0.01,0.07,0.84,0.32,0.71,0.34,0.08,0.25
131,0.02,0.00,0.01,0.03,0.03,0.03,0.02,0.01,0.02
132,0.09,0.01,0.06,0.64,0.11,0.50,0.26,0.03,0.18
133,0.03,0.01,0.02,0.16,0.17,0.16,0.07,0.04,0.06
134,0.05,0.02,0.04,0.37,0.30,0.36,0.16,0.08,0.13
141,0.07,0.01,0.04,0.25,0.07,0.21,0.13,0.02,0.09
142,0.09,0.02,0.06,0.60,0.14,0.48,0.25,0.05,0.18
143,0.06,0.01,0.04,0.42,0.29,0.39,0.18,0.07,0.14
211,0.01,0.00,0.00,0.04,0.02,0.04,0.02,0.01,0.01
212,0.00,0.00,0.00,0.01,0.06,0.02,0.00,0.01,0.01
213,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.01,0.01
214,0.12,0.01,0.08,0.89,0.24,0.73,0.37,0.06,0.26
215,0.01,0.00,0.01,0.15,0.06,0.13,0.06,0.02,0.04
216,0.04,0.01,0.03,0.36,0.34,0.36,0.14,0.08,0.12
221,0.07,0.03,0.06,0.39,0.66,0.46,0.17,0.17,0.17
222,0.04,0.19,0.10,0.08,1.00,0.32,0.05,0.36,0.16
223,0.03,0.01,0.02,0.05,0.05,0.05,0.04,0.02,0.03
224,0.06,0.02,0.04,0.07,0.05,0.07,0.06,0.03,0.05
225,0.03,0.01,0.02,0.02,0.01,0.02,0.03,0.01,0.02
226,0.06,0.07,0.06,0.19,0.37,0.24,0.11,0.13,0.11
231,0.09,0.07,0.09,0.36,1.02,0.53,0.18,0.28,0.21
232,0.03,0.01,0.02,0.05,0.10,0.06,0.03,0.03,0.03
233,0.51,0.39,0.46,0.80,2.96,1.36,0.60,0.94,0.72
234,0.64,1.07,0.80,0.63,4.24,1.56,0.63,1.75,1.02
235,0.19,0.36,0.25,0.35,1.59,0.67,0.24,0.62,0.37
241,0.19,0.07,0.14,1.23,1.23,1.23,0.52,0.32,0.45
242,0.03,0.03,0.03,0.26,0.56,0.34,0.10,0.14,0.12
243,0.10,0.02,0.07,0.71,0.36,0.62,0.29,0.10,0.23
251,0.12,0.06,0.10,1.97,2.22,2.03,0.71,0.53,0.65
252,0.02,0.01,0.02,0.15,0.14,0.15,0.06,0.03,0.05
261,0.09,0.03,0.07,0.62,0.35,0.55,0.26,0.10,0.21
262,0.01,0.01,0.01,0.01,0.06,0.03,0.01,0.02,0.01
263,0.41,0.08,0.29,0.49,0.11,0.39,0.44,0.09,0.32
264,0.02,0.00,0.01,0.09,0.07,0.09,0.04,0.02,0.04
265,0.11,0.03,0.08,0.28,0.24,0.27,0.17,0.08,0.14
311,0.07,0.01,0.05,0.28,0.11,0.24,0.14,0.03,0.10
312,0.36,0.06,0.25,0.97,0.15,0.76,0.56,0.08,0.39
313,0.09,0.01,0.06,0.19,0.05,0.16,0.12,0.02,0.08
314,0.01,0.00,0.01,0.01,0.02,0.02,0.01,0.01,0.01
315,0.00,0.00,0.00,0.04,0.01,0.03,0.01,0.00,0.01
321,0.08,0.09,0.08,0.28,0.42,0.32,0.14,0.16,0.15
322,0.05,1.00,0.40,0.08,1.38,0.42,0.06,1.08,0.41
323,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01
324,0.02,0.01,0.02,0.03,0.01,0.02,0.02,0.01,0.02
