DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,OC2,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_TOTAL,2023,139242.444,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_01,2023,93.675,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_02,2023,341.761,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_03,2023,104.534,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_11,2023,439.102,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_12,2023,531.76,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_13,2023,836.401,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_14,2023,1186.306,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_21,2023,513.385,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_22,2023,1156.098,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_23,2023,5556.775,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_24,2023,521.058,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_25,2023,127.552,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_26,2023,506.331,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IDN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_31,2023,1321.995,,NB,PS,3,LFS - National Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
