DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,OC2,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_TOTAL,2018,347379.145,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_11,2018,1243.434,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_12,2018,26533.802,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_13,2018,780.124,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_21,2018,3059.585,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_22,2018,1588.259,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_23,2018,5067.101,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_24,2018,5330.065,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_31,2018,2174.971,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_32,2018,1499.519,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_33,2018,6627.804,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_34,2018,4846.251,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_41,2018,6080.066,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_42,2018,1442.325,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_51,2018,10946.861,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_52,2018,22433.08,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),IND,A,EMP_TEMP_NB,SEX_T,OC2_ISCO88_61,2018,98870.59,,NB,PS,3,LFS - Periodic Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
