DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,OC2,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),KEN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_TOTAL,2019,18724.541,,NB,PS,3,HS - Continuous household survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),KEN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_01,2019,12.97,,NB,PS,3,HS - Continuous household survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),KEN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_02,2019,17.236,,NB,PS,3,HS - Continuous household survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),KEN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_03,2019,42.249,,NB,PS,3,HS - Continuous household survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),KEN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_11,2019,85.083,,NB,PS,3,HS - Continuous household survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),KEN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_12,2019,122.674,,NB,PS,3,HS - Continuous household survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),KEN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_13,2019,751.265,,NB,PS,3,HS - Continuous household survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),KEN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_21,2019,112.952,,NB,PS,3,HS - Continuous household survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),KEN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_22,2019,178.507,,NB,PS,3,HS - Continuous household survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
ILO:DF_EMP_TEMP_SEX_OC2_NB(1.0),KEN,A,EMP_TEMP_NB,SEX_T,OC2_ISCO08_23,2019,668.174,,NB,PS,3,HS - Continuous household survey,Repository: ILO-STATISTICS - Micro data processing,,,1,,
